nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Absolute Office,48.849709,2.370134999999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Goldmann Michael,48.9027082,2.341577,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Soubrier Antiques and Decor - furniture rental,48.8494172,2.3849864,4.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
Espace Canapés Lits Diva STORE,48.8473434,2.296595399999999,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Habitat Paris Pont-Neuf,48.8591203,2.3434702,3.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
CaraColo,48.8511276,2.377435600000001,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bazar Mobilier Deco,48.89505810000001,2.4222254,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Instama France,48.8940418,2.3229711,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Menuiserie de Batiment Roux Freres,48.8832032,2.2880518,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Maximum,48.8152493,2.406705,4.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier des Meubles Anciens,48.8242749,2.2686393,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Briemel Jean Ebeniste Jean,48.8710966,2.3555184,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Plastixia,48.8589406,2.4784488,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cinna,48.8653168,2.351654599999999,3.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
BoConcept Paris 6ème - Rue de Rennes,48.8518558,2.3316404,3.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'Ecorce,48.8892354,2.4108359,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Freval,48.8790073,2.2821327,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Herbert Emmanuel encadreur,48.8887009,2.332925099999999,4.2,-1,1,0,0,0,1,0,0,0,0,0,0,0
N1 du meubles - Home Concept Paris,48.874237,2.2846081,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Office Bureau,48.8707489,2.307915399999999,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
canape cuir Paris,48.8663543,2.3367092,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
PHS PHILIPPE SIRAUD,48.8710844,2.2952454,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Kroliczek Jean,48.87715919999999,2.3663859,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
DADA cuisines,48.8574968,2.332553,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Topper Meubles,48.84704900000001,2.2963977,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Sajuni Et Compagnie,48.86420380000001,2.3516598,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Casa,48.8926871,2.2900464,3.4,-1,1,0,0,0,1,0,0,0,0,0,0,0
Paringer,48.8455781,2.319598,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Archea Paris 6ème,48.8473082,2.328405,5.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Mauduit Jean-Claude,48.8967198,2.2952007,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cera Sa,48.8586933,2.2729854,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bergia Le Marois Monique,48.8512178,2.2672594,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Vainglas,48.81314839999999,2.389722599999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Moissonnier,48.858088,2.3272486,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Rosello Frères,48.8515334,2.3847069,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cap'projets,48.8957279,2.429492999999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
La Joie de Vivre,48.85260239999999,2.3369271,3.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier Cézario Padouck,48.9000482,2.3048518,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Ammour Mouloud,48.8648845,2.4078476,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'EDITO,48.8488219,2.3900713,4.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
L2C,48.8478984,2.4529124,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
